# MGA SCAN
# Sequence: EARTH → JUPITER → SATURN
# v∞ bounds: {'EARTH': (3, 13), 'JUPITER': (3, 13), 'SATURN': (0, 100)}
# Periapsis radii: [1.05, 1.1, 1.2, 1.3, 1.4, 1.5, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 20, 30]
# Min flyby alt: {'JUPITER': 5000}
# Grid resolution: 7 days
# Propagation: 3000 days
#
sequence,t_launch_et,t_launch_utc,vinf_dep_km_s,c3_km2_s2,vinf_dep_vec_x,vinf_dep_vec_y,vinf_dep_vec_z,flyby_body,t_flyby_et,t_flyby_utc,tof_leg1_days,vinf_flyby_km_s,flyby_periapsis_km,flyby_alt_km,turn_angle_deg,vinf_in_vec_x,vinf_in_vec_y,vinf_in_vec_z,vinf_out_vec_x,vinf_out_vec_y,vinf_out_vec_z,target_body,t_arrival_et,t_arrival_utc,tof_leg2_days,tof_total_days,vinf_target_km_s,min_range_km,soi_fraction,vinf_target_vec_x,vinf_target_vec_y,vinf_target_vec_z
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.997927950900959,168.9461310168124,1.7218927761522949,12.766886332224107,-1.7285339638885282,JUPITER,-646401549.8160741,1979 JUL 09 00:00:00,716.0000231479729,7.68081943849088,559568.0,489622.0,105.0151350496512,-0.04244338538036807,7.679132069846907,0.15529475066966575,-7.405950732779723,-2.0304591920925845,0.15529475066966575,SATURN,-578297477.7024562,1981 SEP 04 05:47:50,788.241575389096,1504.241598537069,10.63190840550094,52242714.53095081,0.9528799270958921,-9.996568929924342,-3.618121868740827,0.12361276298270221
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.997927950900959,168.9461310168124,1.7218927761522949,12.766886332224107,-1.7285339638885282,JUPITER,-646401549.8160741,1979 JUL 09 00:00:00,716.0000231479729,7.68081943849088,629514.0,559568.0,101.33165954202742,-0.04244338538036807,7.679132069846907,0.15529475066966575,-7.521097268709279,-1.550473044502098,0.15529475066966572,SATURN,-578635649.872249,1981 AUG 31 07:51:38,784.3275456461241,1500.327568794097,10.687981743942746,31252656.96386322,0.5700321998321115,-10.192858454062902,-3.2129207543313534,0.12542137249558571
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.997927950900959,168.9461310168124,1.7218927761522949,12.766886332224107,-1.7285339638885282,JUPITER,-646401549.8160741,1979 JUL 09 00:00:00,716.0000231479729,7.68081943849088,699460.0,629514.0,97.95844860165654,-0.04244338538036807,7.679132069846907,0.15529475066966575,-7.5992958407275895,-1.1052481677044972,0.15529475066966575,SATURN,-578821128.3405095,1981 AUG 29 04:20:19,782.1808041153311,1498.1808272633039,10.71885027496597,35548622.02774663,0.6483883670725129,-10.336359184076771,-2.835036974816189,0.12647286790018097
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.968421501973712,168.1799562528541,1.715515161671405,12.741971404625197,-1.6967995481621898,JUPITER,-645796749.8160741,1979 JUL 16 00:00:00,723.0000231479729,7.571856633452595,629514.0,559568.0,102.23413862402066,0.004549515113124514,7.570391587939033,0.1488737207643347,-7.39943060744472,-1.5997737897703213,0.14887372076433467,SATURN,-577267731.1999862,1981 SEP 16 03:50:17,793.1599376862027,1516.1599608341755,10.486609337896597,35706039.906295635,0.651259587260478,-9.957334596419155,-3.287285822100376,0.11922694507602055
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.968421501973712,168.1799562528541,1.715515161671405,12.741971404625197,-1.6967995481621898,JUPITER,-645796749.8160741,1979 JUL 16 00:00:00,723.0000231479729,7.571856633452595,699460.0,629514.0,98.88020048340124,0.004549515113124514,7.570391587939033,0.1488737207643347,-7.48034964850346,-1.164138578073932,0.14887372076433472,SATURN,-577442766.7581501,1981 SEP 14 03:13:01,791.134063170417,1514.13408631839,10.516446202845112,31709133.115315318,0.5783580872945442,-10.102220307244846,-2.9199881774721774,0.12022747043806006
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.94164299633768,167.48612344465613,1.7078560464862527,12.719696021581889,-1.6669385974565376,JUPITER,-645191949.8160741,1979 JUL 23 00:00:00,730.0000231479729,7.467739112977363,629514.0,559568.0,103.10340363538528,0.05286010040042122,7.466185543096376,0.14285204001435647,-7.283768616884463,-1.6411689400682277,0.14285204001435647,SATURN,-575928427.9852103,1981 OCT 01 15:52:00,801.6611323016648,1531.6611554496376,10.293587425477224,41459227.54977564,0.7561947360464467,-9.731656673000234,-3.352607474165824,0.1132413747721841
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.94164299633768,167.48612344465613,1.7078560464862527,12.719696021581889,-1.6669385974565376,JUPITER,-645191949.8160741,1979 JUL 23 00:00:00,730.0000231479729,7.467739112977363,699460.0,629514.0,99.76864579201136,0.05286010040042122,7.466185543096376,0.14285204001435647,-7.366901322945166,-1.2146957035177308,0.1428520400143565,SATURN,-576091212.1871008,1981 SEP 29 18:38:56,799.7770558908954,1529.7770790388684,10.321992155013406,30501846.967559792,0.5563378162043882,-9.877073114080426,-2.995644079765741,0.11430351977242303
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.917462826936248,166.86084588527982,1.6989657827585276,12.699951202746398,-1.6387802177704722,JUPITER,-644587149.8160741,1979 JUL 30 00:00:00,737.0000231479729,7.367081728475891,629514.0,559568.0,103.95020288867951,0.09935326052121063,7.36513554908504,0.1371147959591884,-7.171857375722197,-1.6791529141419832,0.1371147959591884,SATURN,-574583159.8051562,1981 OCT 17 05:33:08,810.2313658671053,1547.2313890150783,10.102203473021024,48059442.7037972,0.8765792258503842,-9.507860768965037,-3.412260341570237,0.10760097416199063
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.917462826936248,166.86084588527982,1.6989657827585276,12.699951202746398,-1.6387802177704722,JUPITER,-644587149.8160741,1979 JUL 30 00:00:00,737.0000231479729,7.367081728475891,699460.0,629514.0,100.6347060165483,0.09935326052121063,7.36513554908504,0.1371147959591884,-7.256965407288479,-1.2615648236181742,0.1371147959591884,SATURN,-574732829.6379385,1981 OCT 15 11:58:38,808.4990761358291,1545.499099283802,10.129144410350012,31922101.78636986,0.5822425250304113,-9.65364206701492,-3.065120095658198,0.10862838890965193
EARTH → JUPITER → SATURN,-708263951.816059,1977 JUL 23 00:00:00,12.917462826936248,166.86084588527982,1.6989657827585276,12.699951202746398,-1.6387802177704722,JUPITER,-644587149.8160741,1979 JUL 30 00:00:00,737.0000231479729,7.367081728475891,839352.0,769406.0,94.73132372739332,0.09935326052121063,7.36513554908504,0.1371147959591884,-7.348233412708529,-0.5084864198052462,0.1371147959591884,SATURN,-574684795.8104334,1981 OCT 16 01:19:12,809.0550232134345,1546.0550463614074,10.133233047747087,52670440.860649355,0.9606814327703088,-9.834589787661596,-2.4394505458065705,0.11107089150632132
