# MGA SCAN
# Sequence: VENUS → EARTH → JUPITER
# v∞ bounds: {'VENUS': (0, 15), 'EARTH': (3, 20), 'JUPITER': (0, 100)}
# Periapsis radii: [1.05, 1.1, 1.2, 1.3, 1.4, 1.5, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 20, 30]
# Min flyby alt: {'EARTH': 200}
# Grid resolution: 14 days
# Propagation: 3000 days
#
sequence,t_launch_et,t_launch_utc,vinf_dep_km_s,c3_km2_s2,vinf_dep_vec_x,vinf_dep_vec_y,vinf_dep_vec_z,flyby_body,t_flyby_et,t_flyby_utc,tof_leg1_days,vinf_flyby_km_s,flyby_periapsis_km,flyby_alt_km,turn_angle_deg,vinf_in_vec_x,vinf_in_vec_y,vinf_in_vec_z,vinf_out_vec_x,vinf_out_vec_y,vinf_out_vec_z,target_body,t_arrival_et,t_arrival_utc,tof_leg2_days,tof_total_days,vinf_target_km_s,min_range_km,soi_fraction,vinf_target_vec_x,vinf_target_vec_y,vinf_target_vec_z
VENUS → EARTH → JUPITER,890827269.183905,2028 MAR 25 00:00:00,8.339506773014945,69.54737321716213,-3.117178693391349,-7.733410300445506,-0.15790926379567416,EARTH,944308869.1847718,2029 DEC 04 00:00:00,619.0000000100321,14.467186232443922,6689.558784999999,318.55041833333325,-25.606296186169768,-5.65458997079455,-13.193983888500684,1.8010771489275612,-10.801464558778992,-9.454309174829607,1.8010771489275612,JUPITER,998248783.0030967,2031 AUG 20 07:18:34,624.3045580824644,1243.3045580924966,9.992259492084274,21099391.20991181,0.43695971980535486,-5.829730306017089,-8.11403241049779,-0.14823075809563557
VENUS → EARTH → JUPITER,890827269.183905,2028 MAR 25 00:00:00,8.339506773014945,69.54737321716213,-3.117178693391349,-7.733410300445506,-0.15790926379567416,EARTH,944308869.1847718,2029 DEC 04 00:00:00,619.0000000100321,14.467186232443922,7008.109203333333,637.1008366666674,-24.67638606472365,-5.65458997079455,-13.193983888500684,1.8010771489275612,-10.646605329821929,-9.628364011545951,1.8010771489275612,JUPITER,1000473411.7595245,2031 SEP 15 01:15:43,650.0525760966747,1269.0525761067067,9.174668961420661,35531554.67724961,0.7358438933880752,-5.466620140503832,-7.366752954287575,-0.1468526526448547
VENUS → EARTH → JUPITER,890827269.183905,2028 MAR 25 00:00:00,10.886628269752276,118.51867508376942,-1.7135196960859034,-10.743463201560047,0.40065417958664207,EARTH,976968069.1847718,2030 DEC 17 00:00:00,997.0000000100321,17.307509830733846,12742.016733333332,6371.008366666666,-10.851597471808924,-3.8774735832875002,-16.73687197230477,2.0957604191642267,-6.959118161087211,-15.707589223889178,2.0957604191642267,JUPITER,1034097206.7534286,2032 OCT 08 05:12:18,661.2168700076019,1658.216870017634,9.875403795108449,31535865.27690473,0.6530948081924922,-1.5417076371009841,-9.750477542058656,-0.2737250079123965
VENUS → EARTH → JUPITER,890827269.183905,2028 MAR 25 00:00:00,10.886628269752276,118.51867508376942,-1.7135196960859034,-10.743463201560047,0.40065417958664207,EARTH,976968069.1847718,2030 DEC 17 00:00:00,997.0000000100321,17.307509830733846,19113.0251,12742.016733333334,-7.463956210480797,-3.8774735832875002,-16.73687197230477,2.0957604191642267,-6.0187798191606445,-16.09136334481569,2.0957604191642267,JUPITER,1056224376.4247754,2033 JUN 21 07:38:27,917.3183708333748,1914.318370843407,6.575114847869993,31198960.58778427,0.646117650553459,-3.322410528356836,-5.673941457443764,0.010577393111185024
VENUS → EARTH → JUPITER,892036869.183905,2028 APR 08 00:00:00,8.514973524367846,72.50477412068538,-5.30168849503713,-6.663097675641602,-0.0016084575865473183,EARTH,944308869.1847718,2029 DEC 04 00:00:00,605.0000000100321,14.515789494109285,6689.558784999999,318.55041833333325,-25.4705976934125,-5.620601909704309,-13.253122931819954,1.863252898559354,-10.77379082769474,-9.547872248537072,1.863252898559354,JUPITER,998564451.7622007,2031 AUG 23 22:59:43,627.9581316832052,1232.9581316932374,9.82565116699068,25666874.422195453,0.5315504198307451,-5.742884034986101,-7.9709230158421995,-0.16459067897109553
VENUS → EARTH → JUPITER,892036869.183905,2028 APR 08 00:00:00,8.514973524367846,72.50477412068538,-5.30168849503713,-6.663097675641602,-0.0016084575865473183,EARTH,944308869.1847718,2029 DEC 04 00:00:00,605.0000000100321,14.515789494109285,7008.109203333333,637.1008366666674,-24.544451079785652,-5.620601909704309,-13.253122931819954,1.863252898559354,-10.61805531948944,-9.720768205526026,1.8632528985593542,JUPITER,1000856725.0719216,2031 SEP 19 11:44:16,654.4890727679376,1259.4890727779698,9.009105055385465,41082414.39683524,0.8507999166978636,-5.392453775215909,-7.21520334933065,-0.1620395289409785
VENUS → EARTH → JUPITER,892036869.183905,2028 APR 08 00:00:00,9.901788277855802,98.04541109948258,-4.578640539095986,-8.763801645065485,0.5265383548962912,EARTH,976968069.1847718,2030 DEC 17 00:00:00,983.0000000100321,16.907987572865167,19113.0251,12742.016733333334,-7.797095787641367,-4.051847075635219,-16.295514197239566,1.9795949301291447,-6.2251232968479115,-15.595162314506744,1.9795949301291447,JUPITER,1056694613.45422,2033 JUN 26 18:15:44,922.7609290445403,1905.7609290545724,6.57604047960172,36193720.98227307,0.7495570854052779,-3.030672237722679,-5.836030220174203,0.009243704390783841
VENUS → EARTH → JUPITER,892036869.183905,2028 APR 08 00:00:00,10.05536294608299,101.11032397745879,-0.38612496358357795,-9.99735587397577,1.0070288074521758,EARTH,978177669.1847718,2030 DEC 31 00:00:00,997.0000000100321,17.058264228137975,7645.210039999999,1274.201673333333,-17.479878227523606,0.11198967823981931,-16.92180604822141,2.1504224829825196,-4.975998889900607,-16.17403773549953,2.1504224829825196,JUPITER,1022397997.4891597,2032 MAY 25 19:25:28,511.8093553748603,1508.8093553848923,14.26608725302073,19260160.350392744,0.39887000465493505,-1.0132751215378004,-14.227886989938487,-0.24849716379116016
VENUS → EARTH → JUPITER,892036869.183905,2028 APR 08 00:00:00,10.05536294608299,101.11032397745879,-0.38612496358357795,-9.99735587397577,1.0070288074521758,EARTH,978177669.1847718,2030 DEC 31 00:00:00,997.0000000100321,17.058264228137975,8282.310876666666,1911.3025100000004,-16.317951630381362,0.11198967823981931,-16.92180604822141,2.1504224829825196,-4.646997696890026,-16.271615593626645,2.1504224829825196,JUPITER,1023891283.3887991,2032 JUN 12 02:13:34,529.0927569910566,1526.0927570010888,13.195480472849997,16130749.050087286,0.33406118285846487,-0.7461805026213941,-13.171502710916851,-0.27465597241522355
VENUS → EARTH → JUPITER,892036869.183905,2028 APR 08 00:00:00,10.05536294608299,101.11032397745879,-0.38612496358357795,-9.99735587397577,1.0070288074521758,EARTH,978177669.1847718,2030 DEC 31 00:00:00,997.0000000100321,17.058264228137975,8919.411713333331,2548.403346666665,-15.30130657969758,0.11198967823981931,-16.92180604822141,2.1504224829825196,-4.357560980712417,-16.35150524939608,2.1504224829825196,JUPITER,1025379012.1379224,2032 JUN 29 07:29:03,546.3118397355397,1543.3118397455717,12.22996512394786,38022660.5307023,0.7874336717329034,-0.5955159743891834,-12.21194345909772,-0.29299250677913513
